row_len	 combine2D	 combine2D_rev	elements	speedup of combine2d over combine 2d_rev	Ratio of number of cycles to number of elements for combine2d	Ratio of number of cycles to number of elements for combined2d_rev
6964	131917761	218847498	48497296	1.65896916640361	2.72010548794308	4.5125711338628
7300	145413990	237973104	53290000	1.63652138284631	2.72872940514168	4.46562401951586
7644	159482610	273764616	58430736	1.71657973242349	2.7294301067849	4.68528440237344
7996	174726000	287667339	63936016	1.64639114384808	2.73282589268621	4.49930034739731
8356	190572552	321958965	69822736	1.689429887049	2.72937674627932	4.61109064818085
8724	207692283	353613474	76108176	1.70258359575161	2.7289089545386	4.64619562029709
9100	225851025	370926906	82810000	1.6423521035603	2.72733999516967	4.47925257819104
9484	245463246	401958420	89946256	1.63755033207701	2.72899903693601	4.4688732791724
9876	269329755	439033644	97535376	1.6300970681832	2.76135455714038	4.50127596780885
10276	288447825	478809834	105596176	1.65995300536588	2.73161241179794	4.53434823245872
10684	311790471	513137967	114147856	1.64577822200346	2.73146147396759	4.49537980809732
11100	343764198	552663195	123210000	1.60768107387378	2.79006734842951	4.48553847090334
11524	364877961	607395531	132802576	1.66465392794716	2.74752171222944	4.57367281038284
11956	392468214	649553394	142945936	1.65504713714217	2.74557098286446	4.54404939501043
12396	420066027	709599747	153660816	1.68925764377513	2.73372248003681	4.61796159536209
12844	449635479	745160448	164968336	1.65725456019897	2.72558655741063	4.51699075148579
13300	482844030	797557380	176890000	1.65179091061766	2.72962875233196	4.50877596246255
13764	517135995	854568558	189447696	1.65250256463003	2.72970326860032	4.51084165204099
14236	551253867	913326072	202663696	1.65681571899068	2.72004250332038	4.50660917582397
14716	589856037	979612662	216560656	1.66076567933813	2.72374515248975	4.52350246851857
15204	631357884	1049728755	231161616	1.66265248538498	2.7312401380686	4.54110320374296
15700	671817345	1118776176	246490000	1.6652981414167	2.72553590409347	4.53882987545134
16204	716841348	1197465207	262569616	1.67047452039555	2.73010014989701	4.56056273853103
16716	762513924	1285042548	279424656	1.6852709275903	2.72887129903096	4.59888746539246
17236	809382501	1358720604	297079696	1.67871260167015	2.72446253277437	4.5735895865465
17764	858880356	1432562787	315559696	1.66794219589766	2.72176823240443	4.53975208228113
18300	912336228	1517847588	334890000	1.66369321026239	2.72428626713249	4.5323765654394
18844	968997138	1658297523	355096336	1.71135440752974	2.72882888321326	4.66999333668146
19396	1026708906	1735152372	376204816	1.69001394831575	2.72912217583094	4.61225454381211
19956	1086680901	1836162690	398241936	1.68969813338056	2.72869530495653	4.61067136334934
20524	1147438536	1976682882	421234576	1.72269173466212	2.72398943813197	4.69259409037685
21100	1211373510	2071151736	445210000	1.70975485174676	2.72090364097841	4.65207820129826
21684	1292868195	2237285781	470195856	1.7304824959361	2.74963757868593	4.75819970008413
22276	1355929338	2276510025	496220176	1.6789296913937	2.73251553157323	4.58770145815272
22876	1428778677	2649725568	523311376	1.85453885241598	2.73026489108848	5.06338231791086
23484	1560335139	2811333864	551498256	1.80175001750057	2.82926577196647	5.09762965415434
24100	1599748200	2943114231	580810000	1.83973592281585	2.75433997348531	5.06725819286858
24724	1666044699	3275343252	611276176	1.96593960172013	2.72551878252818	5.35820530980419
25356	1754070822	3336702987	642926736	1.90226240876379	2.72825926156538	5.18986503463748
25996	1844892438	3658606890	675792016	1.98310037736737	2.72997075182966	5.41380602815527

